"ENTIDAD","FECHA","MUNICIPIO","CLAVE_ENTIDAD","CLAVE_MUNICIPIO","region","POBLACION","LATITUD","LONGITUD","Casos","Tasa_Casos_Positivos","Defunciones","Tasa_Defunciones","Negativos","Tasa_Casos_Negativos","Sospechosos","Tasa_Casos_Sospechosos"
"CIUDAD DE MEXICO",2020-04-05,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,8,1.0538282286333,1,0.131728528579163,16,2.10765645726661,11,1.44901381437079
"CIUDAD DE MEXICO",2020-04-06,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,13,1.71247087152912,4,0.526914114316652,16,2.10765645726661,8,1.0538282286333
"CIUDAD DE MEXICO",2020-04-07,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,9,1.18555675721247,NA,NA,22,2.89802762874158,9,1.18555675721247
"CIUDAD DE MEXICO",2020-04-08,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,10,1.31728528579163,NA,NA,13,1.71247087152912,6,0.790371171474977
"CIUDAD DE MEXICO",2020-04-09,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,13,1.71247087152912,2,0.263457057158326,24,3.16148468589991,4,0.526914114316652
"CIUDAD DE MEXICO",2020-04-10,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,23,3.02975615732075,1,0.131728528579163,38,5.00568408600819,7,0.92209970005414
"CIUDAD DE MEXICO",2020-04-11,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,13,1.71247087152912,2,0.263457057158326,20,2.63457057158326,8,1.0538282286333
"CIUDAD DE MEXICO",2020-04-12,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,18,2.37111351442493,1,0.131728528579163,16,2.10765645726661,4,0.526914114316652
"CIUDAD DE MEXICO",2020-04-13,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,22,2.89802762874158,1,0.131728528579163,27,3.5566702716374,13,1.71247087152912
"CIUDAD DE MEXICO",2020-04-14,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,17,2.23938498584577,3,0.395185585737489,26,3.42494174305824,10,1.31728528579163
"CIUDAD DE MEXICO",2020-04-15,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,28,3.68839880021656,1,0.131728528579163,30,3.95185585737489,6,0.790371171474977
"CIUDAD DE MEXICO",2020-04-16,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,24,3.16148468589991,2,0.263457057158326,24,3.16148468589991,9,1.18555675721247
"CIUDAD DE MEXICO",2020-04-17,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,36,4.74222702884986,2,0.263457057158326,36,4.74222702884986,11,1.44901381437079
"CIUDAD DE MEXICO",2020-04-18,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,24,3.16148468589991,2,0.263457057158326,31,4.08358438595405,11,1.44901381437079
"CIUDAD DE MEXICO",2020-04-19,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,23,3.02975615732075,5,0.658642642895815,21,2.76629910016242,11,1.44901381437079
"CIUDAD DE MEXICO",2020-04-20,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,44,5.79605525748317,4,0.526914114316652,50,6.58642642895815,18,2.37111351442493
"CIUDAD DE MEXICO",2020-04-21,"ALVARO OBREGON",9,10,"09010",759137,19.390806,-99.195413,27,3.5566702716374,8,1.0538282286333,24,3.16148468589991,17,2.23938498584577
